ID,income,gender,age,marriage,children,residence,price,loan,house,target
1,1089252,Male,42,married,1,central,23.4,58738,with_parents,T
2,818508,Male,36,married,4,east,24,26003,rent,T
3,781416,Male,34,married,1,east,9.3,44477,rent,F
4,652536,Female,23,married,1,east,10.3,53842,with_parents,F
5,572556,Female,44,married,3,east,16.5,56643,rent,F
6,442272,Male,29,married,4,east,20.6,17218,with_parents,F
7,654672,Male,27,married,3,east,23.1,39690,rent,F
8,337884,Female,20,married,1,east,9.7,49971,with_parents,F
9,777396,Female,34,married,1,east,19.4,18226,with_parents,T
10,409656,Female,36,married,0,east,10.5,19658,rent,F
11,1003896,Male,24,married,1,central,10.8,29963,rent,T
12,695484,Male,34,married,0,east,13.1,56353,with_parents,F
13,451932,Female,52,married,1,east,19.8,18333,rent,F
14,546156,Male,24,married,2,east,22,39785,rent,F
15,1186440,Male,30,married,3,central,24.4,45591,with_parents,T
16,914460,Male,20,married,1,east,10.2,34707,with_parents,F
17,1168248,Female,50,married,2,central,19.5,57484,rent,F
18,957612,Male,29,married,0,east,9.4,20127,rent,F
19,1038516,Female,50,married,2,east,14.4,29643,with_parents,T
20,694044,Male,52,married,0,east,22.6,30203,with_parents,F
21,699288,Female,37,married,1,east,22.1,26314,rent,F
22,711180,Male,36,married,1,east,19.2,31735,rent,F
23,686832,Female,28,married,2,east,22.7,39167,with_parents,F
24,478572,Male,64,married,0,east,16.5,44732,rent,F
25,1163124,Male,54,married,1,south,12.2,59877,with_parents,F
26,265848,Male,46,married,2,east,18.5,41839,rent,F
27,957372,Female,28,married,0,east,21.7,44828,with_parents,F
28,988692,Male,63,married,3,east,15,29261,with_parents,T
29,342720,Male,48,married,2,east,19.3,53752,with_parents,F
30,1133808,Male,22,married,1,east,9,54966,with_parents,F
31,399300,Female,32,married,1,east,15.7,52078,rent,F
32,927540,Female,30,married,0,east,20.7,30930,rent,F
33,379716,Female,41,married,2,east,15.3,33656,rent,F
34,1197036,Female,50,married,1,north,16.5,31050,with_parents,T
35,1195548,Female,46,married,1,east,24.1,57116,rent,F
36,339828,Female,28,married,2,east,21.5,46351,rent,F
37,1032036,Male,63,married,3,north,17.2,54073,rent,F
38,1087332,Female,39,married,1,east,24.7,30957,rent,T
